@8227573d-1874-49a2-8a47-81271bff7221_c9d44752_0_trimmed_filtered	1386 bp.	SSU: 1-659	ITS1: 660-857	5.8S: 858-1009	ITS2: 1010-1207	LSU: 1208-1386	
@0044b7c1-59c0-428a-9915-746df3e7de3c_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-177	ITS1: 178-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@587b3d78-3dd2-4bc6-87d6-79610e89f8ec_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-190	ITS1: 191-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@3a9e95e7-d10b-4376-ba37-b16057de4e61_c9d44752_0_trimmed_filtered	393 bp.	SSU: 1-388	ITS1: 389-393	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0e809c95-a18b-4eb8-8bec-e5ccc3af7eaa_c9d44752_0_trimmed_filtered	626 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 284-626	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@c3dc4330-8efc-41b8-b336-c745a084a601_c9d44752_0_trimmed_filtered	215 bp.	SSU: 1-212	ITS1: 213-215	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4c2b1389-065e-4b69-870f-b492b3f9614f_c9d44752_0_trimmed_filtered	467 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 102-316	LSU: 317-467	Broken or partial sequence, only partial 5.8S! 
@e586e72a-d348-4f97-8828-27b5962f633f_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-169	ITS1: 170-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@76869657-083c-42c0-a7b5-0b7f44cf483c_c9d44752_0_trimmed_filtered	298 bp.	SSU: 1-59	ITS1: 60-298	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@08c843d6-4478-4025-b6e1-9e7bfd6a1461_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-199	ITS1: 200-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@62dbcbda-8061-44ca-a61e-20b8e242d40b_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-176	ITS1: 177-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@41c12359-e220-4237-accc-b1900f2762d8_c9d44752_0_trimmed_filtered	491 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 121-491	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@6c9a5ac5-1976-4b49-96eb-e66c81ea31de_c9d44752_0_trimmed_filtered	345 bp.	SSU: 1-177	ITS1: 178-345	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@744caece-bb07-4094-b238-8d3908de930f_c9d44752_0_trimmed_filtered	459 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 116-459	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@6dc22448-d0aa-43db-b431-eea39249a9fd_c9d44752_0_trimmed_filtered	202 bp.	SSU: 1-202	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4e3935c0-af66-4a55-b3b6-886f1255f107_c9d44752_0_trimmed_filtered	330 bp.	SSU: 1-172	ITS1: 173-330	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@54f0cce6-3147-4552-9da2-5c04f38730ee_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-200	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@3a87c447-269e-4572-8e68-d6c034115880_c9d44752_0_trimmed_filtered	205 bp.	SSU: 1-205	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@99b7270d-5f48-4afd-95c7-e4582dacaa8d_c9d44752_0_trimmed_filtered	466 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 99-304	LSU: 305-466	Broken or partial sequence, only partial 5.8S! 
@f584dc96-73a4-4ebf-b329-18fbffcfaef1_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-174	ITS1: 175-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d585662e-422d-44b6-b028-e48106a53ee3_c9d44752_0_trimmed_filtered	682 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 109-317	LSU: 318-682	Broken or partial sequence, only partial 5.8S! 
@ffcb491f-d3c7-44b5-bd03-6a676b93a140_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-178	ITS1: 179-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@dfbb3a32-4363-4b37-af64-e529df8cfcbc_c9d44752_0_trimmed_filtered	222 bp.	SSU: 1-218	ITS1: 219-222	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@fe8655ff-9e5f-494c-a8fb-95a9ee4f1b5f_c9d44752_0_trimmed_filtered	335 bp.	SSU: 1-175	ITS1: 176-335	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@c238bbf1-bfdf-4d92-a57f-b0f491351943_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-166	ITS1: 167-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@16986c54-628e-4f59-9c82-4a4ac29d7732_c9d44752_0_trimmed_filtered	339 bp.	SSU: 1-335	ITS1: 336-339	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@2664a8a5-0504-40b5-b00b-c31b5b44e2bb_c9d44752_0_trimmed_filtered	1082 bp.	SSU: 1-1082	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@522901dc-fdd5-525a-a0f8-6dc1a9150f0b_c9d44752_0_trimmed_filtered	213 bp.	SSU: 1-213	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@57c59557-95f0-4a22-acbd-2e60ad93d72b_c9d44752_0_trimmed_filtered	212 bp.	SSU: 1-212	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a5e8776b-f0d2-45e5-b2c2-ac99988ce493_c9d44752_0_trimmed_filtered	2404 bp.	SSU: 1-2400	ITS1: 2401-2404	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d47df380-0285-4f1a-ba77-06660af02ee5_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-177	ITS1: 178-211	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@107ec776-1e75-4cc3-8e58-8de105c41b49_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-199	ITS1: 200-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@721b74ff-66e9-4618-b9b9-7f4576b3ae87_c9d44752_0_trimmed_filtered	370 bp.	SSU: 1-208	ITS1: 209-370	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7a823f5d-145b-4fc0-9379-f0ac2e1ab192_c9d44752_0_trimmed_filtered	202 bp.	SSU: 1-202	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0d4262b8-51a6-4498-9c4d-20e9898b1f1f_c9d44752_0_trimmed_filtered	202 bp.	SSU: 1-177	ITS1: 178-202	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@1f8fa372-77ca-4c4f-9380-e915c27f00d7_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-196	ITS1: 197-200	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@2899bf49-f581-4ca4-9fc4-4744accf0d9a_c9d44752_0_trimmed_filtered	208 bp.	SSU: 1-169	ITS1: 170-208	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@e663e2c6-cbc0-4220-8b8d-d9f7345b7e59_c9d44752_0_trimmed_filtered	280 bp.	SSU: 1-60	ITS1: 61-280	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@11a91632-2ba7-4e9f-91f6-4d1cc1c3a72e_c9d44752_0_trimmed_filtered	342 bp.	SSU: 1-180	ITS1: 181-342	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@cf53e60e-2c0d-4ec0-aee6-38772badbad3_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-172	ITS1: 173-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@fd10e658-1f1e-4f9f-b421-f2a9bb075263_c9d44752_0_trimmed_filtered	212 bp.	SSU: 1-212	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@922fab1c-b7ad-4f0e-b8ad-4ec355905ea9_c9d44752_0_trimmed_filtered	213 bp.	SSU: 1-213	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ce5159ca-9dc3-4d38-8a77-14121c796265_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-221	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@9b9f1f43-c06a-4e88-b440-77a89d671ca8_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-178	ITS1: 179-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@5e4f342e-69b4-4517-b59c-f7788a8c30e1_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-212	ITS1: 213-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ae836217-ede3-4803-9d4a-bac6e8b0fb39_c9d44752_0_trimmed_filtered	275 bp.	SSU: 1-79	ITS1: 80-275	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a63332b9-9e42-463a-8b5a-e7aee3e7c8b4_c9d44752_0_trimmed_filtered	344 bp.	SSU: 1-83	ITS1: 84-276	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@e58a061f-2e1d-4fbe-af6e-9919d20051a3_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-203	ITS1: 204-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@01f53bab-6780-4d45-9a58-ae9f74b51598_c9d44752_0_trimmed_filtered	220 bp.	SSU: 1-173	ITS1: 174-220	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@07efd85e-cb8b-4047-b23f-42b5c87d27df_c9d44752_0_trimmed_filtered	208 bp.	SSU: 1-208	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@86a93404-4a56-432e-b46a-f1dbfd09a07a_c9d44752_0_trimmed_filtered	288 bp.	SSU: 1-159	ITS1: 160-288	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@eb2ed96c-e7c7-4b0b-a003-484043a6eb1c_c9d44752_0_trimmed_filtered	205 bp.	SSU: 1-201	ITS1: 202-205	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ce6a9a29-d8b5-4521-9645-570c5bd7e549_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-176	ITS1: 177-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@5d1c8d02-252d-490c-ae1a-479826639b84_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-217	ITS1: 218-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@63781757-e391-45bb-82a0-2695ac9bf95a_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-199	ITS1: 200-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@8e1c5ddc-f241-42d4-bf84-624109574806_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-177	ITS1: 178-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@77f0b2f7-a126-41a7-a155-515d65728017_c9d44752_0_trimmed_filtered	217 bp.	SSU: 1-215	ITS1: 216-217	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4c47f063-8ae4-4473-87b1-1ec24c42efed_c9d44752_0_trimmed_filtered	696 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 142-359	LSU: 360-696	Broken or partial sequence, only partial 5.8S! 
@94f1a308-b246-49f3-8674-cb3fe551a69d_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-203	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@c8b00726-7f5d-48cb-986c-d1dd49e0a838_c9d44752_0_trimmed_filtered	225 bp.	SSU: 1-178	ITS1: 179-225	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b30f699f-71b6-48e3-a021-74f9604bbf24_c9d44752_0_trimmed_filtered	496 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-333	LSU: 334-496	Broken or partial sequence, no 5.8S! 
@b700919d-9b99-419d-b3ee-6f76aba64be0_c9d44752_0_trimmed_filtered	252 bp.	SSU: 1-58	ITS1: 59-230	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@d0a66a37-9606-4c9b-8086-79682ddcec23_c9d44752_0_trimmed_filtered	550 bp.	SSU: 1-550	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b531dc03-aa35-484f-a62b-6ba9daa4f5a7_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-174	ITS1: 175-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4a1595ce-99df-46bc-b8a2-48d2a74a12b1_c9d44752_0_trimmed_filtered	212 bp.	SSU: 1-176	ITS1: 177-212	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@88a89a58-ae4f-44b6-9911-4d3b1cdfaaa3_c9d44752_0_trimmed_filtered	470 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-305	LSU: 306-470	Broken or partial sequence, only partial 5.8S! 
@7b5b1314-43cc-4959-95da-09d201036e59_c9d44752_0_trimmed_filtered	213 bp.	SSU: 1-207	ITS1: 208-213	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4cd2b327-33ed-4913-9a66-fb7c13635fd5_c9d44752_0_trimmed_filtered	276 bp.	SSU: 1-51	ITS1: 52-276	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@f08d83b8-e5f0-4d24-a8ea-82763e6524ed_c9d44752_0_trimmed_filtered	347 bp.	SSU: 1-173	ITS1: 174-347	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@25e90a1c-9c68-4727-8e60-3204cca5e6d3_c9d44752_0_trimmed_filtered	215 bp.	SSU: 1-180	ITS1: 181-215	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@8404b092-d725-49d8-b857-c2d17de7e804_c9d44752_0_trimmed_filtered	1128 bp.	SSU: 1-167	ITS1: 168-1128	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@5986e646-ffbb-47dd-b7fe-feb5fb48bf6e_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-179	ITS1: 180-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@86cba537-61f9-4124-9dfe-a67a04ffc929_c9d44752_0_trimmed_filtered	1729 bp.	SSU: 1-169	ITS1: 170-1729	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! ITS region too long! 
@4f4b0f73-c0e3-453e-ac83-c5119494da4c_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-172	ITS1: 173-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d97d4f7d-2a41-46b2-983d-ebd3cae38763_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-200	ITS1: 201-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@bca99a11-0787-427d-b3e9-49273b0bc45a_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-215	ITS1: 216-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@388b9a1f-37a8-4dbe-9d8c-5d33b68da9e4_c9d44752_0_trimmed_filtered	206 bp.	SSU: 1-174	ITS1: 175-206	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@09342fca-dd1e-439f-8e09-2a261a2226ba_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-212	ITS1: 213-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@f2032aae-35ed-423b-b2a1-62c0234ef3c4_c9d44752_0_trimmed_filtered	356 bp.	SSU: 1-352	ITS1: 353-356	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d055e088-227d-4825-844b-a14330f5dce1_c9d44752_0_trimmed_filtered	348 bp.	SSU: 1-177	ITS1: 178-348	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@6022ad73-91c6-4eeb-8e43-30da94052d09_c9d44752_0_trimmed_filtered	491 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 150-360	LSU: 361-491	Broken or partial sequence, only partial 5.8S! 
@7843db73-a2a9-4ed8-8855-61f5ef0881d1_c9d44752_0_trimmed_filtered	661 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-303	LSU: 304-661	Broken or partial sequence, only partial 5.8S! 
@39a7df58-3635-4dab-bd73-699b6e71194c_c9d44752_0_trimmed_filtered	358 bp.	SSU: 1-354	ITS1: 355-358	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@697381c9-2bd1-448a-9188-1f15da72d4e0_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-175	ITS1: 176-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@af2e021a-c17e-4d33-833d-377f6d24246b_c9d44752_0_trimmed_filtered	222 bp.	SSU: 1-218	ITS1: 219-222	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@17306036-7ba2-4231-b72f-cebcb3dfe065_c9d44752_0_trimmed_filtered	219 bp.	SSU: 1-219	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7706a062-5b76-421a-acaa-86663122f397_c9d44752_0_trimmed_filtered	454 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 94-284	LSU: 285-454	Broken or partial sequence, only partial 5.8S! 
@7bbe3b87-46fd-4363-9aa6-bab579f78fdc_c9d44752_0_trimmed_filtered	474 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-306	LSU: 307-474	Broken or partial sequence, only partial 5.8S! 
@8e8f8212-6f36-411a-a930-5b36f89da2c7_c9d44752_0_trimmed_filtered	282 bp.	SSU: 1-50	ITS1: 51-252	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@6272f1c3-a7bc-4238-b08f-aa96fef28360_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-203	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@6351fb8c-4abb-4c09-bcea-800e912e41b4_c9d44752_0_trimmed_filtered	215 bp.	SSU: 1-215	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@c2a26d84-094d-46bc-b0a4-b243b5c41be5_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-200	ITS1: 201-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@59113930-d2b2-429d-81ee-5fff28b2b221_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-214	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@611da204-57a3-5f66-a55d-8915457fe8bb_c9d44752_0_trimmed_filtered	447 bp.	SSU: 1-171	ITS1: 172-447	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@93baf61d-23c0-4d73-b7e7-eeb8dedf4921_c9d44752_0_trimmed_filtered	219 bp.	SSU: 1-215	ITS1: 216-219	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@6c2bfb04-79f6-47f5-8588-64fdcab41d4a_c9d44752_0_trimmed_filtered	282 bp.	SSU: 1-60	ITS1: 61-252	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@246afe4b-afb0-4bbe-9bea-9ebf272b1ed1_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-216	ITS1: 217-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@cef99677-7aa4-4a0e-a86b-42f00b2161db_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-218	ITS1: 219-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@45569ec7-e4cc-44b7-961e-48ecd9c52c4a_c9d44752_0_trimmed_filtered	338 bp.	SSU: 1-334	ITS1: 335-338	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a900e451-9512-4b61-8df9-20ce73a051aa_c9d44752_0_trimmed_filtered	385 bp.	SSU: 1-212	ITS1: 213-385	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@3c4fefcc-16ac-45ef-af8a-ced2d011a7a8_c9d44752_0_trimmed_filtered	217 bp.	SSU: 1-213	ITS1: 214-217	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@91e80309-f0be-48ca-b77a-42fe80a17744_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-201	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@e8b58f4d-1ca6-44e3-8371-8698aad16894_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-206	ITS1: 207-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7487eab9-6f1f-4338-9967-949c6e3e03ac_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-209	ITS1: 210-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@791771c6-71a1-4cdf-88d8-a1a1cccc81df_c9d44752_0_trimmed_filtered	474 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-311	LSU: 312-474	Broken or partial sequence, only partial 5.8S! 
@788ac7a8-f045-49d3-b071-b1763df80af2_c9d44752_0_trimmed_filtered	346 bp.	SSU: 1-342	ITS1: 343-346	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@1c614662-68f6-4dfe-82a8-d7552af1d7db_c9d44752_0_trimmed_filtered	203 bp.	SSU: 1-168	ITS1: 169-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
