@c407e426-58eb-4a85-8299-19eb65f82e3f_c9d44752_0_trimmed_filtered	482 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 116-324	LSU: 325-482	Broken or partial sequence, only partial 5.8S! 
@cd0a5a3d-a2df-4800-81b0-91f3bc8862a4_c9d44752_0_trimmed_filtered	349 bp.	SSU: 1-177	ITS1: 178-349	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d5e08466-e109-4a6f-8df4-535576759994_c9d44752_0_trimmed_filtered	243 bp.	SSU: 1-49	ITS1: 50-243	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d0c7f87f-f8de-4d90-b26d-bf61c55390c9_c9d44752_0_trimmed_filtered	288 bp.	SSU: 1-60	ITS1: 61-258	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@8c54feaa-7682-423b-84d4-6a9844a5e115_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-167	ITS1: 168-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@388a9f93-d5c9-46d4-8183-e14f2154b2f5_c9d44752_0_trimmed_filtered	247 bp.	SSU: 1-43	ITS1: 44-216	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@22bdd02d-a29b-4bd9-8b4b-279245f180a1_c9d44752_0_trimmed_filtered	502 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 124-332	LSU: 333-502	Broken or partial sequence, only partial 5.8S! 
@d10a2ac7-5099-410b-89b2-f1cbfe0c8cc9_c9d44752_0_trimmed_filtered	241 bp.	SSU: 1-63	ITS1: 64-241	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@7e193204-0a4a-4634-8acb-aae1390887e7_c9d44752_0_trimmed_filtered	210 bp.	SSU: 1-205	ITS1: 206-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0cb274d9-a8cc-4a4d-8907-0816d9faf661_c9d44752_0_trimmed_filtered	228 bp.	SSU: 1-224	ITS1: 225-228	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ad6952a9-891c-4239-9219-12e9cba3b18a_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-178	ITS1: 179-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@54695a57-4b8f-4859-b17b-c3e1977fe6ed_c9d44752_0_trimmed_filtered	519 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 136-348	LSU: 349-519	Broken or partial sequence, only partial 5.8S! 
@cd76751a-59eb-49a3-b69a-213dba86608a_c9d44752_0_trimmed_filtered	478 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 115-330	LSU: 331-478	Broken or partial sequence, only partial 5.8S! 
@fcbf3fa3-a886-412f-8796-2fabc71b7c31_c9d44752_0_trimmed_filtered	208 bp.	SSU: 1-203	ITS1: 204-208	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@33deec3c-b4bd-47d0-ae17-e05bc10d6903_c9d44752_0_trimmed_filtered	475 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 112-329	LSU: 330-475	Broken or partial sequence, only partial 5.8S! 
@dfdf2173-a168-4a81-8250-9a3fadada9fb_c9d44752_0_trimmed_filtered	462 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 94-297	LSU: 298-462	Broken or partial sequence, only partial 5.8S! 
@844bd194-b122-4c29-9b83-c1c1fe4ae55d_c9d44752_0_trimmed_filtered	462 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 85-294	LSU: 295-462	Broken or partial sequence, only partial 5.8S! 
@bcc7eb15-3011-49f1-8448-54a5cbada76a_c9d44752_0_trimmed_filtered	474 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-311	LSU: 312-474	Broken or partial sequence, no 5.8S! 
@0e88a228-6a06-404e-a0f1-242eb8e9382b_c9d44752_0_trimmed_filtered	1075 bp.	SSU: 1-1071	ITS1: 1072-1075	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@aa46bc06-16cc-420b-825f-d355878dcbd6_c9d44752_0_trimmed_filtered	217 bp.	SSU: 1-216	ITS1: 217-217	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0f117735-00c5-4eab-8c63-43bfe518351b_c9d44752_0_trimmed_filtered	480 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 111-313	LSU: 314-480	Broken or partial sequence, only partial 5.8S! 
@20fcf0c8-b3b5-47ec-88dc-661f25f06cc0_c9d44752_0_trimmed_filtered	200 bp.	SSU: 1-200	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@95cd87bf-e5e4-4f42-b91a-48e79ccb05e7_c9d44752_0_trimmed_filtered	490 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 100-317	LSU: 318-490	Broken or partial sequence, only partial 5.8S! 
@5ead51cd-0653-4c8a-be17-5ea52b22c783_c9d44752_0_trimmed_filtered	472 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 114-316	LSU: 317-472	Broken or partial sequence, only partial 5.8S! 
@287109ed-bd8d-45d1-be52-95a4276f8b78_c9d44752_1_trimmed_filtered	501 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 125-333	LSU: 334-501	Broken or partial sequence, only partial 5.8S! 
@cd4649f7-989d-4329-b021-915ee962b487_c9d44752_1_trimmed_filtered	202 bp.	SSU: 1-197	ITS1: 198-202	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@77b943c2-2081-4eb7-b5e0-9afc6660cb55_c9d44752_1_trimmed_filtered	484 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 87-306	LSU: 307-484	Broken or partial sequence, only partial 5.8S! 
@a43a2ed2-d9b9-4ba9-872f-121a128f9321_c9d44752_1_trimmed_filtered	490 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-321	LSU: 322-490	Broken or partial sequence, no 5.8S! 
@8f7b60a8-9213-44ba-89bd-829f9ae3eb24_c9d44752_1_trimmed_filtered	259 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 84-259	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@626e03ae-f880-4c39-ab10-eb7cdea1e464_c9d44752_1_trimmed_filtered	467 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 89-294	LSU: 295-467	Broken or partial sequence, only partial 5.8S! 
@610fa972-31ed-4332-83e3-57625abf1ca1_c9d44752_1_trimmed_filtered	230 bp.	SSU: 1-179	ITS1: 180-230	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@3498ff6a-1fa0-4dc3-9f44-d45e4b1e69e6_c9d44752_1_trimmed_filtered	219 bp.	SSU: 1-178	ITS1: 179-219	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@8ddb92d2-635e-4b3d-89e9-80def3d4b414_c9d44752_1_trimmed_filtered	216 bp.	SSU: 1-212	ITS1: 213-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d39d0529-905f-442c-8be1-45ea8eacadee_c9d44752_1_trimmed_filtered	215 bp.	SSU: 1-211	ITS1: 212-215	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@2707bb66-df44-4b88-9d53-7b38be0f509f_c9d44752_1_trimmed_filtered	222 bp.	SSU: 1-218	ITS1: 219-222	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@cdcbec50-855d-4c73-94a0-065a0955d920_c9d44752_1_trimmed_filtered	216 bp.	SSU: 1-212	ITS1: 213-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@69ad129d-a544-4f55-9b75-0991f9dff55b_c9d44752_1_trimmed_filtered	214 bp.	SSU: 1-209	ITS1: 210-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@0bb70ffe-8b2a-4c19-ae7e-b6124ef81523_c9d44752_1_trimmed_filtered	499 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 114-327	LSU: 328-499	Broken or partial sequence, only partial 5.8S! 
@cdaee75c-d563-4ca2-9081-701bf7a84e17_c9d44752_1_trimmed_filtered	207 bp.	SSU: 1-203	ITS1: 204-207	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a9610d2e-8ad4-466a-84c9-ff1118cb6382_c9d44752_1_trimmed_filtered	491 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 110-317	LSU: 318-491	Broken or partial sequence, only partial 5.8S! 
@69632bc2-0568-4257-9c3b-38a2ff750bae_c9d44752_1_trimmed_filtered	481 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 102-309	LSU: 310-481	Broken or partial sequence, only partial 5.8S! 
@6b000263-bb9a-4bff-902f-588ec4a17fae_c9d44752_1_trimmed_filtered	208 bp.	SSU: 1-204	ITS1: 205-208	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@f9fc2ea8-0cb8-49e3-b76d-7f3f5f9995c2_c9d44752_1_trimmed_filtered	224 bp.	SSU: 1-181	ITS1: 182-224	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@5e2d09c3-e470-4925-a415-49d672d92ce5_c9d44752_1_trimmed_filtered	526 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 145-352	LSU: 353-526	Broken or partial sequence, only partial 5.8S! 
@737b08ec-2f70-4a13-8cf8-5211f22a3e90_c9d44752_1_trimmed_filtered	201 bp.	SSU: 1-198	ITS1: 199-201	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@c812d423-31fb-49c9-b0f3-70b4ae3b1591_c9d44752_1_trimmed_filtered	489 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 115-318	LSU: 319-489	Broken or partial sequence, only partial 5.8S! 
@69712069-0f95-4dbe-9c75-1391b3b35d4f_c9d44752_1_trimmed_filtered	217 bp.	SSU: 1-177	ITS1: 178-217	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@21543d6d-97bf-411a-8a44-c45b3cc408f5_c9d44752_1_trimmed_filtered	489 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 107-316	LSU: 317-489	Broken or partial sequence, only partial 5.8S! 
@758b3793-5766-4cc6-a053-3fd3ea818284_c9d44752_1_trimmed_filtered	212 bp.	SSU: 1-174	ITS1: 175-212	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@81bea07f-0cc7-5b20-a086-9f865f167581_c9d44752_1_trimmed_filtered	480 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-319	LSU: 320-480	Broken or partial sequence, no 5.8S! 
@fd37f897-f1eb-4d97-af28-65388cb1a631_c9d44752_1_trimmed_filtered	522 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 128-522	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@3c25a890-7e60-4400-84f8-8426aed2cbf1_c9d44752_1_trimmed_filtered	623 bp.	SSU: 1-61	ITS1: 62-289	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
@158244ac-6f57-43d3-be76-2cafde6308e2_c9d44752_1_trimmed_filtered	214 bp.	SSU: 1-211	ITS1: 212-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@ce850ee7-3594-4235-9a0b-2d7e083e22ae_c9d44752_1_trimmed_filtered	1000 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 625-831	LSU: 832-1000	Broken or partial sequence, only partial 5.8S! 
@17a6368a-7a59-476a-a953-1563b72c65b2_c9d44752_1_trimmed_filtered	507 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 115-336	LSU: 337-507	Broken or partial sequence, only partial 5.8S! 
@fa365aec-f940-4f00-8f86-63c15a45f038_c9d44752_1_trimmed_filtered	219 bp.	SSU: 1-214	ITS1: 215-219	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@3119f927-4c9d-48a8-a1d3-d825576b9aaa_c9d44752_1_trimmed_filtered	533 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 147-365	LSU: 366-533	Broken or partial sequence, only partial 5.8S! 
@6e1c78b8-e2b7-45d8-a0bf-ace61c8cd19b_c9d44752_1_trimmed_filtered	470 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 116-330	LSU: 331-470	Broken or partial sequence, only partial 5.8S! 
@f97f520c-388b-4d91-bd66-6912571d7010_c9d44752_1_trimmed_filtered	203 bp.	SSU: 1-174	ITS1: 175-203	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@73386722-dc79-4a14-b2e1-925d062232c6_c9d44752_1_trimmed_filtered	670 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-306	LSU: 307-670	Broken or partial sequence, no 5.8S! 
@39cbed1d-bdea-4e2b-b33c-b96c0c9451ca_c9d44752_1_trimmed_filtered	213 bp.	SSU: 1-209	ITS1: 210-213	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4c0727f2-18c7-48bb-94c9-35b6cee8a458_c9d44752_1_trimmed_filtered	210 bp.	SSU: 1-168	ITS1: 169-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@c67190ce-964e-4848-882c-adfaa0447cd8_c9d44752_1_trimmed_filtered	209 bp.	SSU: 1-202	ITS1: 203-209	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b2c2b091-0273-49f6-b402-a60cbcd60c27_c9d44752_1_trimmed_filtered	469 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 109-278	LSU: 279-469	Broken or partial sequence, only partial 5.8S! 
